"employee_number","job_role","department","age","monthly_income","years_at_company","attrition","over_time","raw_score","income_pctile_in_dept","risk_tier","estimated_replacement_cost"
650,"Sales Executive","Sales",31,4233,3,"Yes","No",45,"0.2157303370786517","Medium","76194"
991,"Research Scientist","Research & Development",31,2321,3,"Yes","Yes",40,"0.11458333333333333","Medium","41778"
843,"Research Director","Research & Development",43,17159,4,"No","No",40,"0.9333333333333333","Medium","308862"
1269,"Research Scientist","Research & Development",19,2994,1,"No","Yes",40,"0.3104166666666667","Medium","53892"
2032,"Laboratory Technician","Research & Development",56,2339,10,"Yes","No",40,"0.11979166666666667","Medium","42102"
1465,"Manufacturing Director","Research & Development",45,9380,3,"No","Yes",40,"0.78125","Medium","168840"
959,"Sales Representative","Sales",19,2121,1,"Yes","Yes",40,"0.035955056179775284","Medium","38178"
307,"Sales Executive","Sales",38,10609,16,"No","No",40,"0.8651685393258427","Medium","190962"
1283,"Manufacturing Director","Research & Development",59,10512,9,"No","No",40,"0.8208333333333333","Medium","189216"
1131,"Research Scientist","Research & Development",21,2070,2,"No","Yes",40,"0.04375","Medium","37260"
1937,"Research Scientist","Research & Development",38,2133,20,"No","Yes",40,"0.06770833333333333","Medium","38394"
1972,"Human Resources","Human Resources",38,2991,6,"No","Yes",40,"0.4032258064516129","Medium","53838"
1818,"Human Resources","Human Resources",26,2148,5,"Yes","Yes",40,"0.0967741935483871","Medium","38664"
1100,"Sales Executive","Sales",35,9582,8,"Yes","Yes",40,"0.7887640449438202","Medium","172476"
2021,"Sales Representative","Sales",21,2380,2,"No","Yes",40,"0.07415730337078652","Medium","42840"
421,"Research Director","Research & Development",38,12061,10,"No","No",40,"0.859375","Medium","217098"
940,"Healthcare Representative","Research & Development",58,10552,6,"No","Yes",40,"0.8229166666666666","Medium","189936"
269,"Laboratory Technician","Research & Development",35,4425,6,"No","No",40,"0.509375","Medium","79650"
864,"Sales Executive","Sales",45,10761,5,"No","Yes",40,"0.8719101123595505","Medium","193698"
374,"Manager","Research & Development",55,19045,36,"No","Yes",40,"0.9635416666666666","Medium","342810"
1783,"Laboratory Technician","Research & Development",22,2398,1,"Yes","Yes",40,"0.14895833333333333","Medium","43164"
2034,"Manufacturing Director","Research & Development",41,13570,20,"No","No",40,"0.8833333333333333","Medium","244260"
1331,"Sales Representative","Sales",31,2302,3,"Yes","Yes",40,"0.05393258426966292","Medium","41436"
819,"Sales Executive","Sales",33,5324,3,"Yes","No",40,"0.40898876404494383","Medium","95832"
1604,"Laboratory Technician","Research & Development",28,2408,1,"Yes","Yes",40,"0.15416666666666667","Medium","43344"
1611,"Laboratory Technician","Research & Development",45,5769,10,"No","Yes",40,"0.6510416666666666","Medium","103842"
2020,"Research Scientist","Research & Development",44,2436,4,"No","Yes",40,"0.15833333333333333","Medium","43848"
419,"Laboratory Technician","Research & Development",36,5674,9,"No","No",40,"0.6427083333333333","Medium","102132"
1267,"Manager","Sales",44,18213,22,"No","No",40,"0.9752808988764045","Medium","327834"
202,"Research Scientist","Research & Development",40,5605,20,"No","No",40,"0.6395833333333333","Medium","100890"
1725,"Laboratory Technician","Research & Development",24,3907,6,"No","No",40,"0.43333333333333335","Medium","70326"
240,"Sales Executive","Sales",45,5006,5,"No","Yes",40,"0.36179775280898874","Medium","90108"
1081,"Research Scientist","Research & Development",51,2461,10,"Yes","Yes",40,"0.171875","Medium","44298"
1878,"Research Scientist","Research & Development",22,2472,1,"Yes","Yes",40,"0.17395833333333333","Medium","44496"
1218,"Sales Executive","Sales",35,8966,7,"No","Yes",40,"0.7595505617977528","Medium","161388"
1948,"Research Scientist","Research & Development",31,3065,4,"No","Yes",40,"0.321875","Medium","55170"
1126,"Manufacturing Director","Research & Development",43,10820,8,"No","No",40,"0.8302083333333333","Medium","194760"
1422,"Research Director","Research & Development",54,17328,20,"No","No",40,"0.9375","Medium","311904"
1502,"Laboratory Technician","Research & Development",33,3838,5,"No","No",40,"0.4270833333333333","Medium","69084"
875,"Research Scientist","Research & Development",42,2515,2,"No","Yes",40,"0.18333333333333332","Medium","45270"
998,"Healthcare Representative","Research & Development",33,5488,6,"No","Yes",40,"0.6322916666666667","Medium","98784"
463,"Sales Executive","Sales",29,8268,7,"No","Yes",40,"0.7146067415730337","Medium","148824"
910,"Human Resources","Human Resources",33,2277,4,"No","Yes",40,"0.1774193548387097","Medium","40986"
565,"Research Scientist","Research & Development",29,2546,2,"Yes","No",40,"0.19270833333333334","Medium","45828"
1043,"Manufacturing Director","Research & Development",39,10880,21,"No","Yes",40,"0.8333333333333334","Medium","195840"
1423,"Research Director","Research & Development",58,19701,9,"No","Yes",40,"0.99375","Medium","354618"
732,"Sales Executive","Sales",60,5405,2,"No","No",40,"0.4337078651685393","Medium","97290"
1211,"Sales Executive","Sales",30,4115,4,"No","No",40,"0.19325842696629214","Medium","74070"
133,"Human Resources","Human Resources",37,2073,3,"Yes","Yes",40,"0.03225806451612903","Medium","37314"
70,"Healthcare Representative","Research & Development",35,9884,4,"No","Yes",40,"0.7947916666666667","Medium","177912"
75,"Laboratory Technician","Research & Development",35,4014,2,"No","Yes",40,"0.45208333333333334","Medium","72252"
742,"Research Director","Research & Development",36,11713,8,"No","No",40,"0.8510416666666667","Medium","210834"
1847,"Research Scientist","Research & Development",36,6962,1,"No","Yes",40,"0.73125","Medium","125316"
2053,"Laboratory Technician","Research & Development",29,4025,4,"No","Yes",40,"0.45416666666666666","Medium","72450"
1016,"Research Scientist","Research & Development",20,2600,1,"Yes","Yes",40,"0.21145833333333333","Medium","46800"
101,"Research Director","Research & Development",45,13245,0,"No","Yes",40,"0.871875","Medium","238410"
538,"Laboratory Technician","Research & Development",25,4031,2,"Yes","No",40,"0.45625","Medium","72558"
64,"Laboratory Technician","Research & Development",48,5381,1,"Yes","Yes",40,"0.6177083333333333","Medium","96858"
107,"Research Scientist","Research & Development",38,5329,13,"No","Yes",40,"0.6104166666666667","Medium","95922"
493,"Research Scientist","Research & Development",31,2657,2,"No","Yes",40,"0.22291666666666668","Medium","47826"
1805,"Human Resources","Human Resources",38,2592,11,"No","No",40,"0.24193548387096775","Medium","46656"
879,"Sales Executive","Sales",25,4194,5,"No","Yes",40,"0.20898876404494382","Medium","75492"
731,"Manager","Human Resources",41,19141,21,"No","No",40,"0.9354838709677419","Medium","344538"
683,"Research Scientist","Research & Development",34,2691,10,"No","No",40,"0.23333333333333334","Medium","48438"
809,"Manager","Research & Development",42,18430,24,"No","No",40,"0.9541666666666667","Medium","331740"
684,"Sales Executive","Sales",45,4286,1,"Yes","No",40,"0.22247191011235956","Medium","77148"
1420,"Laboratory Technician","Research & Development",49,4284,4,"Yes","No",40,"0.4864583333333333","Medium","77112"
1002,"Laboratory Technician","Research & Development",45,3633,9,"No","Yes",40,"0.39895833333333336","Medium","65394"
1676,"Manager","Sales",47,15972,3,"No","No",40,"0.9348314606741573","Medium","287496"
328,"Laboratory Technician","Research & Development",33,2707,9,"Yes","No",40,"0.24270833333333333","Medium","48726"
416,"Sales Executive","Sales",31,6929,8,"No","No",40,"0.6359550561797753","Medium","124722"
1036,"Sales Executive","Sales",38,6861,1,"No","Yes",40,"0.6314606741573033","Medium","123498"
1239,"Sales Executive","Sales",40,6852,5,"No","No",40,"0.6292134831460674","Medium","123336"
1212,"Sales Executive","Sales",40,4327,0,"No","No",40,"0.23370786516853934","Medium","77886"
1612,"Sales Executive","Sales",45,4385,10,"No","No",40,"0.24044943820224718","Medium","78930"
1171,"Sales Executive","Sales",42,5155,6,"No","No",40,"0.3775280898876405","Medium","92790"
1734,"Sales Executive","Sales",32,6735,0,"Yes","No",40,"0.6134831460674157","Medium","121230"
1694,"Research Scientist","Research & Development",55,3537,4,"No","No",40,"0.3875","Medium","63666"
190,"Laboratory Technician","Research & Development",32,4200,5,"Yes","No",40,"0.475","Medium","75600"
178,"Manufacturing Director","Research & Development",36,4941,3,"No","No",40,"0.5697916666666667","Medium","88938"
939,"Research Scientist","Research & Development",33,2799,3,"No","Yes",40,"0.26666666666666666","Medium","50382"
475,"Sales Executive","Sales",30,4736,2,"No","Yes",40,"0.31685393258426964","Medium","85248"
7,"Laboratory Technician","Research & Development",27,3468,2,"No","No",40,"0.378125","Medium","62424"
1967,"Sales Executive","Sales",31,5617,10,"Yes","Yes",40,"0.4786516853932584","Medium","101106"
1599,"Laboratory Technician","Research & Development",43,4876,6,"No","No",40,"0.5614583333333333","Medium","87768"
1297,"Laboratory Technician","Research & Development",51,2838,7,"No","No",40,"0.278125","Medium","51084"
1306,"Manager","Research & Development",45,18061,0,"No","No",40,"0.95","Medium","325098"
1886,"Manufacturing Director","Research & Development",35,4788,3,"No","Yes",40,"0.5520833333333334","Medium","86184"
2027,"Research Scientist","Research & Development",29,4787,2,"Yes","Yes",40,"0.5510416666666667","Medium","86166"
241,"Research Scientist","Research & Development",56,4257,2,"No","Yes",40,"0.4822916666666667","Medium","76626"
785,"Sales Executive","Sales",47,6397,5,"Yes","Yes",40,"0.5707865168539326","Medium","115146"
1281,"Sales Executive","Sales",34,4538,3,"No","Yes",40,"0.2651685393258427","Medium","81684"
1098,"Human Resources","Human Resources",44,10482,20,"Yes","No",40,"0.8064516129032258","Medium","188676"
957,"Laboratory Technician","Research & Development",41,4721,18,"No","Yes",40,"0.5385416666666667","Medium","84978"
1352,"Manager","Human Resources",51,14026,33,"No","Yes",40,"0.8387096774193549","Medium","252468"
449,"Sales Executive","Sales",27,6349,5,"No","Yes",40,"0.5640449438202247","Medium","114282"
641,"Sales Executive","Sales",26,6272,5,"No","No",40,"0.5550561797752809","Medium","112896"
347,"Research Scientist","Research & Development",42,6545,3,"No","Yes",40,"0.703125","Medium","117810"
404,"Sales Executive","Sales",42,13525,20,"No","No",40,"0.9146067415730337","Medium","243450"
862,"Sales Executive","Sales",53,10934,5,"No","Yes",40,"0.8853932584269663","Medium","196812"
2056,"Sales Executive","Sales",39,12031,20,"No","No",40,"0.8943820224719101","Medium","216558"
592,"Sales Executive","Sales",36,9980,10,"No","No",40,"0.8247191011235955","Medium","179640"
811,"Laboratory Technician","Research & Development",23,1601,0,"Yes","Yes",40,"0.015625","Medium","28818"
1118,"Healthcare Representative","Research & Development",52,10445,8,"No","No",40,"0.8166666666666667","Medium","188010"
952,"Sales Representative","Sales",25,2413,1,"Yes","Yes",40,"0.08089887640449438","Medium","43434"
1716,"Sales Executive","Sales",47,12936,23,"Yes","No",40,"0.898876404494382","Medium","232848"
1905,"Research Scientist","Research & Development",34,2307,5,"Yes","Yes",40,"0.10833333333333334","Medium","41526"
896,"Sales Representative","Sales",29,2800,3,"Yes","Yes",40,"0.12808988764044943","Medium","50400"
1042,"Laboratory Technician","Research & Development",36,2743,17,"Yes","No",35,"0.2520833333333333","Medium","49374"
1866,"Manager","Research & Development",43,19392,16,"No","No",35,"0.9791666666666666","Medium","349056"
1084,"Manufacturing Director","Research & Development",30,9957,6,"No","No",35,"0.796875","Medium","179226"
1303,"Research Scientist","Research & Development",25,2096,2,"No","No",35,"0.05520833333333333","Medium","37728"
1182,"Manufacturing Director","Research & Development",35,10274,7,"No","No",35,"0.8104166666666667","Medium","184932"
624,"Healthcare Representative","Research & Development",46,10527,2,"No","No",35,"0.821875","Medium","189486"
880,"Manufacturing Director","Research & Development",35,10685,17,"No","Yes",35,"0.8270833333333333","Medium","192330"
2031,"Manager","Research & Development",42,18880,22,"No","No",35,"0.9604166666666667","Medium","339840"
153,"Manager","Research & Development",34,11631,11,"No","No",35,"0.8489583333333334","Medium","209358"
575,"Research Director","Research & Development",46,17861,3,"No","No",35,"0.946875","Medium","321498"
1334,"Manager","Research & Development",42,17861,20,"No","Yes",35,"0.946875","Medium","321498"
1127,"Healthcare Representative","Research & Development",39,12169,18,"Yes","No",35,"0.8604166666666667","Medium","219042"
1109,"Manager","Research & Development",42,17665,22,"No","No",35,"0.94375","Medium","317970"
386,"Research Director","Research & Development",53,17584,5,"No","Yes",35,"0.940625","Medium","316512"
1367,"Manufacturing Director","Research & Development",51,13142,5,"No","No",35,"0.8677083333333333","Medium","236556"
601,"Manufacturing Director","Research & Development",40,13237,20,"No","No",35,"0.8708333333333333","Medium","238266"
1166,"Research Director","Research & Development",40,13499,18,"No","No",35,"0.8802083333333334","Medium","242982"
126,"Research Director","Research & Development",54,13549,4,"No","No",35,"0.8822916666666667","Medium","243882"
950,"Research Director","Research & Development",38,13582,15,"No","No",35,"0.8854166666666666","Medium","244476"
2017,"Research Director","Research & Development",37,13744,16,"No","Yes",35,"0.8927083333333333","Medium","247392"
1539,"Research Director","Research & Development",50,14411,32,"No","Yes",35,"0.9010416666666666","Medium","259398"
569,"Manager","Research & Development",50,17046,27,"No","No",35,"0.9291666666666667","Medium","306828"
264,"Manager","Research & Development",45,16792,20,"No","No",35,"0.9239583333333333","Medium","302256"
1286,"Laboratory Technician","Research & Development",28,2154,4,"No","Yes",35,"0.071875","Medium","38772"
820,"Manager","Research & Development",47,16752,26,"No","Yes",35,"0.921875","Medium","301536"
1219,"Laboratory Technician","Research & Development",24,2210,1,"Yes","No",35,"0.08229166666666667","Medium","39780"
1815,"Sales Executive","Sales",41,10447,22,"No","Yes",35,"0.8539325842696629","Medium","188046"
1243,"Sales Executive","Sales",35,10377,13,"No","Yes",35,"0.8471910112359551","Medium","186786"
1732,"Sales Executive","Sales",46,10368,10,"No","Yes",35,"0.8449438202247191","Medium","186624"
1582,"Sales Executive","Sales",38,9924,9,"No","No",35,"0.8224719101123595","Medium","178632"
260,"Research Scientist","Research & Development",27,2279,7,"No","No",35,"0.09895833333333333","Medium","41022"
55,"Laboratory Technician","Research & Development",26,2293,1,"Yes","No",35,"0.10416666666666667","Medium","41274"
622,"Laboratory Technician","Research & Development",26,2340,1,"Yes","Yes",35,"0.12083333333333333","Medium","42120"
763,"Research Scientist","Research & Development",40,2342,4,"No","Yes",35,"0.12395833333333334","Medium","42156"
656,"Sales Executive","Sales",37,9602,3,"No","Yes",35,"0.7910112359550562","Medium","172836"
164,"Research Scientist","Research & Development",26,2368,5,"No","No",35,"0.134375","Medium","42624"
1850,"Laboratory Technician","Research & Development",27,2379,5,"No","Yes",35,"0.14270833333333333","Medium","42822"
315,"Research Scientist","Research & Development",29,2389,4,"Yes","Yes",35,"0.146875","Medium","43002"
1405,"Research Scientist","Research & Development",27,2394,8,"Yes","Yes",35,"0.14791666666666667","Medium","43092"
2012,"Laboratory Technician","Research & Development",40,2406,1,"No","No",35,"0.15208333333333332","Medium","43308"
1868,"Research Scientist","Research & Development",29,2439,1,"Yes","Yes",35,"0.1625","Medium","43902"
1938,"Manager","Sales",58,17875,1,"No","Yes",35,"0.9707865168539326","Medium","321750"
1760,"Laboratory Technician","Research & Development",38,2468,6,"No","No",35,"0.17291666666666666","Medium","44424"
1602,"Manager","Sales",46,17567,26,"No","No",35,"0.9662921348314607","Medium","316206"
1175,"Laboratory Technician","Research & Development",28,2515,1,"Yes","Yes",35,"0.18333333333333332","Medium","45270"
567,"Sales Executive","Sales",30,8412,9,"No","No",35,"0.7280898876404495","Medium","151416"
1794,"Human Resources","Human Resources",37,4071,10,"No","No",35,"0.5161290322580645","Medium","73278"
224,"Research Scientist","Research & Development",27,2566,1,"No","Yes",35,"0.20104166666666667","Medium","46188"
1915,"Sales Executive","Sales",34,8103,4,"No","Yes",35,"0.701123595505618","Medium","145854"
1706,"Sales Executive","Sales",43,7847,10,"No","Yes",35,"0.6898876404494382","Medium","141246"
283,"Sales Executive","Sales",29,7639,10,"Yes","No",35,"0.6786516853932584","Medium","137502"
662,"Research Scientist","Research & Development",38,2619,0,"No","No",35,"0.215625","Medium","47142"
1050,"Sales Executive","Sales",53,7525,15,"No","No",35,"0.6674157303370787","Medium","135450"
1165,"Sales Executive","Sales",29,7336,11,"Yes","No",35,"0.6584269662921348","Medium","132048"
426,"Research Scientist","Research & Development",31,2695,2,"No","Yes",35,"0.2375","Medium","48510"
1535,"Sales Executive","Sales",34,7083,10,"No","Yes",35,"0.6449438202247191","Medium","127494"
184,"Human Resources","Human Resources",30,6347,11,"No","Yes",35,"0.6774193548387096","Medium","114246"
1275,"Research Scientist","Research & Development",26,2875,8,"No","Yes",35,"0.284375","Medium","51750"
16,"Research Scientist","Research & Development",31,2911,5,"No","No",35,"0.2916666666666667","Medium","52398"
22,"Laboratory Technician","Research & Development",22,2935,1,"No","Yes",35,"0.29791666666666666","Medium","52830"
1329,"Sales Executive","Sales",41,6151,19,"No","No",35,"0.5348314606741573","Medium","110718"
239,"Laboratory Technician","Research & Development",30,3072,12,"No","No",35,"0.325","Medium","55296"
334,"Research Scientist","Research & Development",41,3072,1,"No","No",35,"0.325","Medium","55296"
1356,"Sales Executive","Sales",34,6125,10,"No","No",35,"0.5280898876404494","Medium","110250"
392,"Laboratory Technician","Research & Development",44,3161,1,"Yes","Yes",35,"0.33229166666666665","Medium","56898"
401,"Sales Executive","Sales",26,5828,8,"Yes","Yes",35,"0.5101123595505618","Medium","104904"
1143,"Research Scientist","Research & Development",29,3291,7,"No","No",35,"0.34791666666666665","Medium","59238"
1735,"Laboratory Technician","Research & Development",23,3295,3,"No","No",35,"0.35","Medium","59310"
1802,"Laboratory Technician","Research & Development",40,3377,4,"No","No",35,"0.3614583333333333","Medium","60786"
90,"Research Scientist","Research & Development",36,3388,1,"Yes","Yes",35,"0.3625","Medium","60984"
698,"Human Resources","Human Resources",54,10725,9,"No","No",35,"0.8225806451612904","Medium","193050"
1438,"Research Scientist","Research & Development",47,3420,6,"No","No",35,"0.36666666666666664","Medium","61560"
1475,"Research Scientist","Research & Development",44,3420,5,"No","No",35,"0.36666666666666664","Medium","61560"
1720,"Research Scientist","Research & Development",32,3433,5,"No","No",35,"0.3697916666666667","Medium","61794"
65,"Laboratory Technician","Research & Development",28,3441,2,"Yes","Yes",35,"0.37083333333333335","Medium","61938"
1436,"Sales Executive","Sales",36,5647,3,"No","No",35,"0.48089887640449436","Medium","101646"
192,"Research Scientist","Research & Development",45,3452,6,"No","No",35,"0.37395833333333334","Medium","62136"
1550,"Manager","Human Resources",40,16437,21,"No","Yes",35,"0.8548387096774194","Medium","295866"
1908,"Sales Executive","Sales",36,5507,4,"No","No",35,"0.46741573033707867","Medium","99126"
851,"Manager","Sales",51,16307,20,"No","No",35,"0.9438202247191011","Medium","293526"
91,"Sales Executive","Sales",59,5473,4,"No","No",35,"0.451685393258427","Medium","98514"
1784,"Sales Executive","Sales",31,5468,12,"No","No",35,"0.449438202247191","Medium","98424"
1106,"Laboratory Technician","Research & Development",25,3691,7,"Yes","Yes",35,"0.40729166666666666","Medium","66438"
1257,"Research Scientist","Research & Development",36,3692,11,"No","No",35,"0.4083333333333333","Medium","66456"
120,"Sales Executive","Sales",51,5441,10,"No","Yes",35,"0.44269662921348313","Medium","97938"
331,"Laboratory Technician","Research & Development",32,3730,3,"Yes","Yes",35,"0.41354166666666664","Medium","67140"
1989,"Laboratory Technician","Research & Development",30,3748,12,"No","No",35,"0.415625","Medium","67464"
861,"Research Scientist","Research & Development",30,3761,5,"No","No",35,"0.4197916666666667","Medium","67698"
2065,"Sales Executive","Sales",49,5390,9,"No","No",35,"0.42921348314606744","Medium","97020"
1188,"Sales Executive","Sales",43,5346,4,"Yes","No",35,"0.4202247191011236","Medium","96228"
340,"Research Scientist","Research & Development",37,3920,3,"No","No",35,"0.43645833333333334","Medium","70560"
1916,"Laboratory Technician","Research & Development",31,3978,2,"No","No",35,"0.44479166666666664","Medium","71604"
445,"Sales Executive","Sales",39,5238,1,"Yes","Yes",35,"0.39325842696629215","Medium","94284"
942,"Healthcare Representative","Research & Development",35,4014,10,"No","Yes",35,"0.45208333333333334","Medium","72252"
1046,"Laboratory Technician","Research & Development",32,4025,8,"No","No",35,"0.45416666666666666","Medium","72450"
321,"Human Resources","Human Resources",59,2267,2,"No","No",35,"0.16129032258064516","Medium","40806"
1574,"Research Scientist","Research & Development",32,4087,6,"No","No",35,"0.4635416666666667","Medium","73566"
1062,"Healthcare Representative","Research & Development",37,4107,4,"No","No",35,"0.465625","Medium","73926"
568,"Manager","Sales",57,14118,1,"No","No",35,"0.9280898876404494","Medium","254124"
1809,"Manufacturing Director","Research & Development",37,4213,10,"Yes","No",35,"0.47604166666666664","Medium","75834"
1079,"Laboratory Technician","Research & Development",21,1416,1,"Yes","No",35,"0.010416666666666666","Medium","25488"
793,"Healthcare Representative","Research & Development",29,4335,8,"No","No",35,"0.496875","Medium","78030"
1481,"Sales Executive","Sales",44,4768,1,"No","No",35,"0.32134831460674157","Medium","85824"
600,"Sales Executive","Sales",35,4717,11,"No","No",35,"0.3101123595505618","Medium","84906"
1285,"Laboratory Technician","Research & Development",34,4444,11,"No","No",35,"0.5125","Medium","79992"
972,"Laboratory Technician","Research & Development",45,4447,9,"No","No",35,"0.5135416666666667","Medium","80046"
397,"Research Scientist","Research & Development",36,4485,8,"No","No",35,"0.51875","Medium","80730"
1380,"Sales Executive","Sales",35,4614,4,"Yes","Yes",35,"0.2876404494382023","Medium","83052"
1503,"Sales Executive","Sales",47,4591,5,"No","Yes",35,"0.2808988764044944","Medium","82638"
1667,"Sales Executive","Sales",35,4581,11,"Yes","Yes",35,"0.2786516853932584","Medium","82458"
1220,"Sales Executive","Sales",33,4539,10,"No","No",35,"0.26741573033707866","Medium","81702"
903,"Sales Executive","Sales",47,4537,7,"No","Yes",35,"0.26292134831460673","Medium","81666"
1052,"Laboratory Technician","Research & Development",36,4834,1,"Yes","No",35,"0.5572916666666666","Medium","87012"
1995,"Sales Executive","Sales",38,4440,15,"No","No",35,"0.24943820224719102","Medium","79920"
1956,"Research Scientist","Research & Development",31,5003,10,"No","No",35,"0.575","Medium","90054"
439,"Research Scientist","Research & Development",32,5055,7,"No","No",35,"0.5791666666666667","Medium","90990"
104,"Laboratory Technician","Research & Development",30,5126,10,"No","Yes",35,"0.5885416666666666","Medium","92268"
1534,"Laboratory Technician","Research & Development",40,2018,5,"Yes","No",35,"0.029166666666666667","Medium","36324"
894,"Laboratory Technician","Research & Development",42,5231,5,"No","Yes",35,"0.6","Medium","94158"
1807,"Laboratory Technician","Research & Development",34,5346,7,"Yes","No",35,"0.6125","Medium","96228"
1377,"Laboratory Technician","Research & Development",34,5429,8,"No","No",35,"0.6229166666666667","Medium","97722"
1658,"Research Scientist","Research & Development",34,5433,11,"No","No",35,"0.6239583333333333","Medium","97794"
1392,"Research Scientist","Research & Development",41,5467,6,"No","Yes",35,"0.625","Medium","98406"
1671,"Research Scientist","Research & Development",32,5470,9,"No","No",35,"0.6270833333333333","Medium","98460"
1580,"Research Scientist","Research & Development",34,5484,2,"No","No",35,"0.6302083333333334","Medium","98712"
1932,"Research Scientist","Research & Development",34,5747,15,"No","Yes",35,"0.6479166666666667","Medium","103446"
2019,"Sales Representative","Sales",52,3482,9,"No","No",35,"0.16853932584269662","Medium","62676"
1888,"Manufacturing Director","Research & Development",45,5906,9,"No","No",35,"0.6583333333333333","Medium","106308"
925,"Sales Representative","Sales",47,3294,3,"No","Yes",35,"0.16179775280898875","Medium","59292"
1375,"Healthcare Representative","Research & Development",40,6377,12,"No","No",35,"0.6885416666666667","Medium","114786"
473,"Manager","Sales",48,12504,0,"No","No",35,"0.8966292134831461","Medium","225072"
384,"Manufacturing Director","Research & Development",26,6397,6,"No","No",35,"0.6927083333333334","Medium","115146"
399,"Sales Representative","Sales",31,2789,2,"No","No",35,"0.12134831460674157","Medium","50202"
1737,"Laboratory Technician","Research & Development",39,6472,9,"No","Yes",35,"0.696875","Medium","116496"
924,"Healthcare Representative","Research & Development",36,6586,16,"No","Yes",35,"0.7072916666666667","Medium","118548"
1691,"Sales Representative","Sales",48,2655,9,"Yes","Yes",35,"0.10112359550561797","Medium","47790"
1556,"Sales Representative","Sales",36,2644,3,"No","Yes",35,"0.09887640449438202","Medium","47592"
966,"Manufacturing Director","Research & Development",32,6725,8,"No","No",35,"0.715625","Medium","121050"
462,"Manufacturing Director","Research & Development",31,7143,11,"No","Yes",35,"0.7354166666666667","Medium","128574"
1421,"Healthcare Representative","Research & Development",29,7553,8,"Yes","Yes",35,"0.746875","Medium","135954"
1121,"Manufacturing Director","Research & Development",28,7655,9,"No","No",35,"0.75","Medium","137790"
2023,"Sales Representative","Sales",23,1790,1,"Yes","No",35,"0.017977528089887642","Medium","32220"
1301,"Research Scientist","Research & Development",28,2080,3,"No","No",35,"0.04895833333333333","Medium","37440"
1703,"Healthcare Representative","Research & Development",44,7879,8,"No","Yes",35,"0.75625","Medium","141822"
167,"Sales Representative","Sales",19,1675,0,"Yes","Yes",35,"0.015730337078651686","Medium","30150"
1529,"Healthcare Representative","Research & Development",35,8606,11,"No","No",35,"0.76875","Medium","154908"
717,"Healthcare Representative","Research & Development",34,8621,8,"No","No",35,"0.7697916666666667","Medium","155178"
1993,"Healthcare Representative","Research & Development",47,8633,17,"No","No",35,"0.7708333333333334","Medium","155394"
733,"Manufacturing Director","Research & Development",27,8793,9,"No","No",35,"0.7729166666666667","Medium","158274"
1867,"Research Director","Research & Development",48,19665,22,"No","No",35,"0.9927083333333333","Medium","353970"
162,"Research Director","Research & Development",51,19537,20,"No","No",35,"0.9864583333333333","Medium","351666"
223,"Healthcare Representative","Research & Development",57,9439,5,"No","Yes",35,"0.784375","Medium","169902"
4,"Laboratory Technician","Research & Development",37,2090,0,"Yes","Yes",30,"0.053125","Medium","37620"
1111,"Laboratory Technician","Research & Development",28,2596,1,"Yes","No",30,"0.21041666666666667","Medium","46728"
517,"Laboratory Technician","Research & Development",42,2576,5,"No","No",30,"0.20416666666666666","Medium","46368"
389,"Laboratory Technician","Research & Development",55,5415,10,"No","Yes",30,"0.621875","Medium","97470"
1934,"Research Scientist","Research & Development",47,5467,8,"No","No",30,"0.625","Medium","98406"
531,"Manager","Research & Development",39,19197,21,"No","Yes",30,"0.971875","Medium","345546"
86,"Research Scientist","Research & Development",45,9724,1,"No","No",30,"0.7916666666666666","Medium","175032"
571,"Laboratory Technician","Research & Development",30,2564,11,"No","No",30,"0.2","Medium","46152"
408,"Manufacturing Director","Research & Development",51,5482,4,"No","No",30,"0.6291666666666667","Medium","98676"
288,"Healthcare Representative","Research & Development",46,9396,4,"No","No",30,"0.7822916666666667","Medium","169128"
712,"Sales Executive","Sales",48,8120,2,"No","No",30,"0.7033707865168539","Medium","146160"
534,"Sales Executive","Sales",41,8392,10,"No","No",30,"0.7235955056179775","Medium","151056"
758,"Laboratory Technician","Research & Development",23,2500,4,"No","No",30,"0.178125","Medium","45000"
1727,"Healthcare Representative","Research & Development",46,5562,10,"No","No",30,"0.634375","Medium","100116"
1568,"Sales Executive","Sales",30,9250,4,"No","No",30,"0.7775280898876404","Medium","166500"
1698,"Laboratory Technician","Research & Development",33,2028,14,"No","No",30,"0.03229166666666667","Medium","36504"
412,"Healthcare Representative","Research & Development",28,5661,8,"No","No",30,"0.6416666666666667","Medium","101898"
878,"Human Resources","Human Resources",36,2342,5,"No","No",30,"0.20967741935483872","Medium","42156"
1767,"Research Scientist","Research & Development",43,2437,1,"Yes","Yes",30,"0.16041666666666668","Medium","43866"
132,"Laboratory Technician","Research & Development",44,2042,3,"No","No",30,"0.035416666666666666","Medium","36756"
1073,"Manufacturing Director","Research & Development",36,8858,14,"No","No",30,"0.7770833333333333","Medium","159444"
855,"Sales Executive","Sales",33,4037,9,"No","No",30,"0.18202247191011237","Medium","72666"
738,"Sales Representative","Sales",50,3875,2,"No","No",30,"0.17303370786516853","Medium","69750"
1939,"Research Scientist","Research & Development",32,2432,4,"Yes","Yes",30,"0.15729166666666666","Medium","43776"
165,"Healthcare Representative","Research & Development",58,10312,40,"Yes","No",30,"0.8114583333333333","Medium","185616"
1766,"Healthcare Representative","Research & Development",38,5811,1,"No","Yes",30,"0.6552083333333333","Medium","104598"
